date,provider,draw_info,1st,2nd,3rd,special,consolation
Jackpot,201/19,23-06-2019 (Sun) Draw No: 201/19,3rd Prize | ,,,"Magnum Jackpot Gold | Jackpot 1 | Prize : RM 10,149,357.36 | Jackpot 2 | Prize : RM 100,000.00 | ","Magnum Jackpot Gold Jackpot 1 Prize : RM 10,149,357.36 Jackpot 2 Prize : RM 100,000.00"
4D,4437,23-06-2019 (Sun) Draw No: 4437,1st Prize 首獎 8225 | 2nd Prize 二獎 8035 | 3rd Prize 三獎 8663 | ,0457 2967 3973 4749 4755 4762 6035 6621 7193 9024,0406 0876 1288 2708 3495 3854 4616 7169 7516 9691,,
4D,080/19,23-06-2019 (Sun) Draw No: 080/19,1st Prize 首獎 8986 | 2nd Prize 二獎 9922 | 3rd Prize 三獎 3747 | ,3597 3575 2789 7598 0180 5684 4030 4073 9679 - - - 4787,8953 4371 6732 8393 5683 5787 7026 2004 0315 2095,,
https://www.live4d2u.net/images/cashsweep,4124,23-06-2019 (Sun) Draw No: 4124,1st Prize 首獎 0643 | 2nd Prize 二獎 0427 | 3rd Prize 三獎 1659 | ,砂勞越大萬 Date: 23-06-2019 (Sun) Draw No: 4124 1st Prize 首獎 0643 2nd Prize 二獎 0427 3rd Prize 三獎 1659 0632 7338 6553 6357 5811 3721 6265 9819 9188 7776,3773 1302 0065 9619 7363 9909 1764 3078 2205 6334,,
4D Jackpot 3D,3031/19,23-06-2019 (Sun) Draw No: 3031/19,1st Prize 首獎 7107 | 2nd Prize 二獎 8905 | 3rd Prize 三獎 8170 | 1st Prize 首獎 986 | 2nd Prize 二獎 112 | 3rd Prize 三獎 668 | ,7664   8557 7579 2894 9963   6202 7802 2808 2094 5121,9825 9448 1538 0408 2916 6210 9414 4946 6824 5611,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,4D Jackpot 1 Prize 4D Jackpot 2 Prize
Lotto Jackpot,3031/19,23-06-2019 (Sun) Draw No: 3031/19,,,,"Jackpot 1 RM 841,433.51 | Jackpot 2 RM 17,623.14 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 1 | Jackpot 2 | Jackpot 3 | Jackpot 4 | Jackpot 5 | Jackpot 6 | Jackpot 7 | Jackpot 8 | ","Jackpot 1 RM 841,433.51 Jackpot 2 RM 17,623.14 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 1 Jackpot 2 Jackpot 3 Jackpot 4 Jackpot 5 Jackpot 6 Jackpot 7 Jackpot 8"
4D Jackpot,202/19,26-06-2019 (Wed) Draw No: 202/19,1st Prize 首獎 1534 | 2nd Prize 二獎 1637 | 3rd Prize 三獎 5737 | ,7651 4305 0556 5497 ---- 4296 ---- 1156 5828 ---- 7881 5741 9228,6903 3301 7607 3958 4264 9996 9328 8883 3176 5071,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | Partially Won RM 268,678.47 | ",4D Jackpot 1 Prize 4D Jackpot 2 Prize
4D Jackpot 3D,4913/19,26-06-2019 (Wed) Draw No: 4913/19,1st Prize 首獎 3473 | 2nd Prize 二獎 5987 | 3rd Prize 三獎 9295 | ,7039 5389 9027 0388 9406 3467 6355 7508 8640 1381,3449 4242 5806 7100 9457 8170 6799 5955 8332 5057,"4D Jackpot 1 Prize 4D Jackpot 2 Prize | 3D Jackpot Prize RM 965,286.10 | ","4D Jackpot 1 Prize 4D Jackpot 2 Prize 3D Jackpot Prize RM 965,286.10"
4D Jackpot,4966/19,26-06-2019 (Wed) Draw No: 4966/19,1st 首獎 7801 Zodiac | 2nd 二獎 9525 | 3rd 三獎 3469 | ,0994 7523 1076 7052 2044 9410 **** 0896 **** 3165 0006 2837 ****,4867 0296 4629 6932 5532 7340 0217 1010 6961 1753,4D Jackpot 1 Prize 4D Jackpot 2 Prize | ,1st 首獎 7801 Zodiac 4D Jackpot 1 Prize 4D Jackpot 2 Prize
5D 6D Lotto Jackpot,4966/19,26-06-2019 (Wed) Draw No: 4966/19,1st 70949 4th 0949 | 2nd 89492 5th 949 | 3rd 82685 6th 49 | 1st 017076 | 2nd 01707 or 17076 | 3rd 0170 or 7076 | ,,,"Jackpot 1 RM 3,648,192.21 | Jackpot 2 RM 211,399.96 | Jackpot RM 4,240,298.00 | Jackpot RM 29,654,348.69 | ","Star Toto 6/50 Jackpot 1 RM 3,648,192.21 Jackpot 2 RM 211,399.96 Power Toto 6/55 Jackpot RM 4,240,298.00 Supreme Toto 6/58 Jackpot RM 29,654,348.69 Star Toto 6/50 | Power Toto 6/55 | Supreme Toto 6/58 |"
